,uri,room_count,floor,max_floor,street,house_number,general_area,intersection,microdistrict,building_type,kitchen_area,living_area,condition,build_year,residential_complex,city,district,telephone,internet,balcony,is_balcony_glazed,door,bathroom,parking,furniture,floor_type,former_hostel,ceiling_height,bars_on_the_window,security,entry_phone,code_lock,alarm,video_security,video_entry_phone,concierge,exchange_possible,plastic_windows,non_angular,improved,rooms_isolated,studio_kitchen,kitchen_builtin,new_plumbing,pantry,counters,quiet_courtyard,air_conditioning,commercial_convenient,price,mortgaged,images_count,private_hostel,text,Latitude,Longitude
0,https://krisha.kz//a/show/679325485,2,3.0,4.0,Саина,,45.0,Кабдолова,,панельный,,,хорошее,1973,,Алматы,Ауэзовский,есть возможность подключения,ADSL,балкон,False,металлическая,раздельный,рядом охраняемая стоянка,,ламинат,False,,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,29500000,False,19,False,"Пластиковые окна, тихий двор, неугловая, новая сантехника.
Продам 2-х комнатную квартиру с новым капитальным евроремонтом. Чистый и тихий двор, удобное расположение, рядом школы, детсады, торговые дома, поликлиники, мед. центры. 
Преимущества: 
⭐Во внутреннем дворе размещены детские и спортивные площадки. 
⭐ Перепланировки не было. 
⭐️ Можно в ипотеку. 
⭐ Транспортная доступность, можно быстро выехать на любой адрес. 
⭐ Бесплатная дворовая парковка. 
⭐ Доброжелательные соседи. 
⭐ Тихий и уютный двор. 
⭐Развитая инфраструктура: ТЦ Армада, Гранд парк.",NA,NA
1,https://krisha.kz//a/show/677384060,3,2.0,3.0,,,71.7,,Нурлытау,кирпичный,,,черновая отделка,2022,Jardin,Алматы,Бостандыкский,,,,False,,,паркинг,,,False,3.2,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,47490000,False,0,False,"КЛУБНЫЙ ДОМ бизнес КЛАССА В ПРЕДГОРЬЕ АЛМАТЫ! 
Преимущества: 
✅ Подземный паркинг; 
✅ Детская и футбольная площадки; 
✅ Зоны для барбекю; 
✅ Собственные террасы; 
✅ Панорамные окна. 
 
квартира проходит по 7-20-25 и все любые виды ипотеки 
 
По переуступке прав 
 
Срок сдачи квартиры в конце октября 2022 года 
 
7-10 минут до проспекта Аль-фараби 
7 минут до Парка Первого Президента 
10 минут до Есентай Mall 
7 минут до казахфильма 
 
Рядом находится детский садик Tamosik 
А также школа Tamos Education 
 
квартира с красивым видом на горы смотрит на юг и запад города, солнечная сторона что немало важно. 
 
квартира 71.7 квадрадных метров чистых без терассы 
 
квартира в черновой отделке свободной планировке, в эту сумму входит планировка и 3D визуализация дизайн проекта. 
 
В каждой квартире установлен обогрев пола. Температура равномерно распределяется. Террасы с ограждением из толстого стекла. Также террасы расположены на крышах домов для жильцов Жилой комплекс Jardin находится на юге Алматы в спокойном районе с видом на горы. Собственная территория огорожена и благоустроена.",43.13757885,76.92712352226363
2,https://krisha.kz//a/show/679469259,3,1.0,3.0,,,82.4,,Ремизовка 1,монолитный,,,хорошее,2006,Хуторок,Алматы,Бостандыкский,отдельный,оптика,,False,,2 с/у и более,паркинг,,,False,3.3,False,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,66000000,False,12,False,"СРОЧНО! продается 3-комнатная квартира в небольшом Таунхаусе с отдельным входом и участком мини-садом для отдыха, что удачно объединяет все преимущества квартиры и частного дома. 
 
Квартира располагается в экологически чистом живописном месте Ремизовского ущелья в Бостандыкском районе Алматы, в километре от проспекта Аль-Фараби. 
 
Ухоженная, тёплая, светлая, просторная квартира с высокими потолками 3, 3-3, 6 метров отличный вариант для комфортного проживания, а также для сдачи в аренду или под офис. 
 
Полная гидро-, тепло- и шумоизоляция. Тихая, огороженная, охраняемая территория с видеонаблюдением и свободной парковкой. Газовое отопление индивидуальное на дом. Во дворе имеются плодово-ягодные насаждения, ели, розы. Соседи - интеллигентные люди. Рядом фитне-центр, школы, детские сады, Есентай мол и набережная, Ботанический сад. 
 
Продаётся срочно, без посредников, все документы в порядке, узаконенная планировка, можно под ипотеку, ЕНПФ. 
 
Просмотр квартиры в удобное для вас время.",43.13757885,76.92712352226363
3,https://krisha.kz//a/show/679431346,2,2.0,9.0,Сарыарка,1/2к3,56.0,,Кайрат,монолитный,9.3,35.0,хорошее,2021,Parasat,Алматы,Турксибский,,,,False,металлическая,раздельный,паркинг,без мебели,ламинат,False,2.7,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,30500000,False,16,False,"ВНИМАНИЕ! ЛУЧШЕЕ предложение! 
Продам двухкомнатную квартиру в современном ЖК Parasat! Все комнаты изолированы, кухня тоже отдельно. Квартира светлая. Средний этаж. Панорамные окна, на полу ламинат. БЕЗ мебели. Рядом с ЖК есть собственный детсад, будет школа. расположение ЖК очень удобное, рядом с ВОАД, что позволяет легко и быстро добираться в любую точку города! С полностью развитой инфраструктурой, недалеко от района строится Апорт Mall 2, есть Magnum и т.д. Рядом с ЖК строится свой торговый центр. 
звоните!",NA,NA
4,https://krisha.kz//a/show/679205940,4,6.0,6.0,Рахмадиева,2/1,191.0,,,монолитный,27.2,,,2012,Наурыз,Алматы,Бостандыкский,,проводной,,False,металлическая,2 с/у и более,паркинг,,паркет,False,3.3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,185000000,False,15,False,,43.195837499999996,76.90812928194376
5,https://krisha.kz//a/show/677679066,3,17.0,17.0,Розыбакиева,,75.0,Утепова,,монолитный,,,свободная планировка,2022,Heaven,Алматы,Бостандыкский,отдельный,ADSL,несколько балконов или лоджий,False,металлическая,,паркинг,без мебели,,False,3.0,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,52800000,False,37,False,"Пластиковые окна.
Квартира с одним из лучших видов в городе, в одном из самых востребованных районов города! 
Витражные окна, потолки 3 метра, 2 балкона. Окна в 3 стороны! (горы, закат, город). Соседей сверху нет)) Кирпичная стена с соседями. 
Развитая инфраструктура, тихий двор, удобная транспортная развязка! В шаговой доступности находятся торговые центры, школы, детсады, парки отдыха. 
Дом сдан в эксплуатацию. документы на руках. 
так же есть много вариантов проектировки квартиры, от 2 до 4 комнатной квартиры.",NA,NA
6,https://krisha.kz//a/show/51972146,4,3.0,19.0,Шевченко,,156.0,Муканова,,монолитный,20.0,100.0,,2008,Жастар Mag,Алматы,Алмалинский,нет,ADSL,балкон и лоджия,True,металлическая,2 с/у и более,рядом охраняемая стоянка,частично,ламинат,False,3.0,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,False,True,True,True,False,167000000,False,9,False,"Пластиковые окна, тихий двор, кондиционер, неугловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, счётчики.
Отличная квартира в центре города, развитая инфраструктура, большой двор, рядом метро",NA,NA
7,https://krisha.kz//a/show/673310356,4,,,Назарбаева,,91.0,Маметовой,,кирпичный,8.5,,хорошее,1977,,Алматы,Алмалинский,,оптика,несколько балконов или лоджий,False,бронированная,2 с/у и более,,,,False,2.8,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,97000000,False,7,False,"Продам хорошим людям самую лучшую квартиру. Квартиру с большой историей, в которой проживал замечательный человек-советский и казахстанский учёный, доктор географических наук, профессор. Квартира полностью мебелерованная, с техникой класса люкс, свежий кап. ремонт с дизайнером интерьера 2021 г. и авторским графити г 2 с/у. Стены кирпич, очень тёплая, уютная, светлая с шикарным панорамным видом на все стороны, а главное с великолепным видом на горы. В доме все жильцы постоянные, очень добрые и приветливые. Во дворе охраняемая стоянка. Дом был экспериментальным, поэтому обладает высокой сейсмостойкостью 9 баллов. Изначально его строили для учёных, профессоров, для государственных деятелей. Во дворе есть стоянка. Имеется лифт, мусоропровод. Домофон+кодовый замок+камера наблюдения. Старый центр. Всё в шаговой доступности, лучшие школы, дет. сады, Цум, Арбат, ТЮЗ, Мега, множество скверов и парков. Бывший парк имени ""Горького"" в 20 мин. ходьбы. Все продуктовые магазины, аптека в шаговой доступности.",43.2561045,76.94701379627614
8,https://krisha.kz//a/show/672735095,2,7.0,7.0,,,64.0,,№8,монолитный,,,хорошее,2019,Moskva,Алматы,Ауэзовский,,,балкон,False,,совмещенный,,,ламинат,False,2.8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,54900000,False,4,False,"Продам 2х комн квартиру в Ж. К “Москва” В отличном районе. Дом расположен вдоль Абая. Метро “Москва “рядом. Полностью с мебелью. Евроремонт. рядом есть все необходимое: Торговый центр “Москва “рядом. остоновка, банк, аптека и минимаркет. 
Красивый вид с балкона на Горы. Продаю связи с расширением. 
 
Срочно продаётся. Цена договорная.",43.224723350000005,76.85135670765314
9,https://krisha.kz//a/show/678623045,3,13.0,21.0,Аль,,130.1,,,монолитный,14.0,,хорошее,2014,AFD PLAZA,Алматы,Бостандыкский,,проводной,,True,металлическая,2 с/у и более,паркинг,полностью,,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,123000000,False,0,False,,43.1762766,76.8734051
